container_name,pod_name,namespace,cluster_name,container_image,container_state,container_started_at,image_age_days,last_updated
liveness-probe,ebs-csi-node-lxhjh,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 15:53:24+00:00,138,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-lxhjh,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 15:53:23+00:00,138,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-lxhjh,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 15:53:23+00:00,138,2024-07-22 15:54:34+00:00
aws-node,aws-node-n2lzl,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 15:53:20+00:00,138,2024-07-22 15:54:34+00:00
aws-node,aws-node-x9spq,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 15:53:18+00:00,138,2024-07-22 15:54:34+00:00
agent,agent-t5hjm,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 15:53:17+00:00,126,2024-07-22 15:54:34+00:00
agent,agent-ddpfc,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 15:53:16+00:00,126,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-dxh9f,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 15:53:12+00:00,138,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-dxh9f,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 15:53:11+00:00,138,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-fmrw6,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 15:53:11+00:00,397,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-z7fkc,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 15:53:11+00:00,397,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-dxh9f,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 15:53:10+00:00,138,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-g7jv8,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 15:53:10+00:00,396,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-k8vdj,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 15:53:10+00:00,396,2024-07-22 15:54:34+00:00
aws-node,aws-node-bcgvs,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 15:53:05+00:00,138,2024-07-22 15:54:34+00:00
agent,agent-d5fql,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 15:53:03+00:00,126,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-8d2xl,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 15:52:57+00:00,397,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-tdf5w,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 15:52:55+00:00,396,2024-07-22 15:54:34+00:00
doppler,git-doppler-65f749b46d-4vgd8,doppler-listener,kjpaas-gov-prod.k8s.local,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-prod/devops-infra/doppler-listener:2.0.33.abe35,running,2024-07-22 15:52:29+00:00,264,2024-07-22 15:54:34+00:00
doppler,git-doppler-65f749b46d-ddxjn,doppler-listener,kjpaas-gov-prod.k8s.local,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-prod/devops-infra/doppler-listener:2.0.33.abe35,running,2024-07-22 15:52:22+00:00,264,2024-07-22 15:54:34+00:00
doppler,git-doppler-65f749b46d-sqjp8,doppler-listener,kjpaas-gov-prod.k8s.local,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-prod/devops-infra/doppler-listener:2.0.33.abe35,running,2024-07-22 15:52:21+00:00,264,2024-07-22 15:54:34+00:00
secrets-seeder,secrets-unsealer-28694390-6flkm,backbone,kjpaas-gov-prod.k8s.local,artexternal.sentinelone.net/shared/kubeseal:latest,running,2024-07-22 15:51:45+00:00,,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-epoch-writer-168,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 15:51:44+00:00,21,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-epoch-writer-168,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 15:51:38+00:00,396,2024-07-22 15:54:34+00:00
doppler,git-doppler-65f749b46d-dnkzb,doppler-listener,kjpaas-gov-prod.k8s.local,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-prod/devops-infra/doppler-listener:2.0.33.abe35,running,2024-07-22 15:51:25+00:00,264,2024-07-22 15:54:34+00:00
prometheus-server,prometheus-server-0,monitoring,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-remote/prom/prometheus:v2.42.0,running,2024-07-22 15:51:22+00:00,411,2024-07-22 15:54:34+00:00
doppler,git-doppler-65f749b46d-jcn8j,doppler-listener,kjpaas-gov-prod.k8s.local,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-prod/devops-infra/doppler-listener:2.0.33.abe35,running,2024-07-22 15:51:02+00:00,264,2024-07-22 15:54:34+00:00
doppler,git-doppler-65f749b46d-vjbqj,doppler-listener,kjpaas-gov-prod.k8s.local,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-prod/devops-infra/doppler-listener:2.0.33.abe35,running,2024-07-22 15:51:01+00:00,264,2024-07-22 15:54:34+00:00
doppler,git-doppler-65f749b46d-w9jj6,doppler-listener,kjpaas-gov-prod.k8s.local,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-prod/devops-infra/doppler-listener:2.0.33.abe35,running,2024-07-22 15:49:17+00:00,264,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-hithroughput-22,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 15:47:55+00:00,21,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-hithroughput-22,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 15:47:45+00:00,396,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-hithroughput-28,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 15:47:24+00:00,21,2024-07-22 15:54:34+00:00
doppler,git-doppler-65f749b46d-bq6zq,doppler-listener,kjpaas-gov-prod.k8s.local,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-prod/devops-infra/doppler-listener:2.0.33.abe35,running,2024-07-22 15:47:21+00:00,264,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-hithroughput-27,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 15:47:11+00:00,21,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-worker-hithroughput-26,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 15:47:07+00:00,21,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-hithroughput-28,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 15:46:45+00:00,396,2024-07-22 15:54:34+00:00
scalyr-agent,scalyr-agent-2-mp297,scalyr,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/scalyr-agent/scalyr-k8s-agent-fips:2.2.9a,running,2024-07-22 15:46:35+00:00,174,2024-07-22 15:54:34+00:00
scalyr-agent,scalyr-agent-2-wfblm,scalyr,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/scalyr-agent/scalyr-k8s-agent-fips:2.2.9a,running,2024-07-22 15:46:35+00:00,174,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-hithroughput-26,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 15:46:34+00:00,396,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-worker-hithroughput-27,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 15:46:34+00:00,396,2024-07-22 15:54:34+00:00
scalyr-agent,scalyr-agent-2-z94x9,scalyr,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/scalyr-agent/scalyr-k8s-agent-fips:2.2.9a,running,2024-07-22 15:46:33+00:00,174,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-glp7w,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 15:46:18+00:00,138,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-xqllx,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 15:46:18+00:00,138,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-bqf4w,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 15:46:17+00:00,138,2024-07-22 15:54:34+00:00
liveness-probe,ebs-csi-node-bqf4w,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/livenessprobe:v2.12.0-eks-1-29-5,running,2024-07-22 15:46:17+00:00,138,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-glp7w,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 15:46:17+00:00,138,2024-07-22 15:54:34+00:00
node-driver-registrar,ebs-csi-node-xqllx,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-driver-registrar:v2.10.0-eks-1-29-5,running,2024-07-22 15:46:17+00:00,138,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-bqf4w,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 15:46:16+00:00,138,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-glp7w,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 15:46:16+00:00,138,2024-07-22 15:54:34+00:00
ebs-plugin,ebs-csi-node-xqllx,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/aws-ebs-csi-driver:v1.28.0,running,2024-07-22 15:46:16+00:00,138,2024-07-22 15:54:34+00:00
aws-node,aws-node-hlcpv,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 15:46:12+00:00,138,2024-07-22 15:54:34+00:00
aws-node,aws-node-s9h79,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 15:46:12+00:00,138,2024-07-22 15:54:34+00:00
aws-node,aws-node-tbs5l,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/amazon-k8s-cni:v1.16.2,running,2024-07-22 15:46:12+00:00,138,2024-07-22 15:54:34+00:00
agent,agent-jbcdw,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 15:46:09+00:00,126,2024-07-22 15:54:34+00:00
agent,agent-n8cmj,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 15:46:09+00:00,126,2024-07-22 15:54:34+00:00
agent,agent-s592d,sentinelone,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/docker-release/cws-agents/release/23.4.2/release/s1agent:23.4.2.14,running,2024-07-22 15:46:09+00:00,126,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-bbhvj,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 15:46:03+00:00,397,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-75lmx,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 15:46:02+00:00,397,2024-07-22 15:54:34+00:00
kube-proxy,kube-proxy-p5mpm,kube-system,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/kube-proxy:v1.22.17,running,2024-07-22 15:46:02+00:00,397,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-z4jkh,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 15:46:02+00:00,396,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-mkwgx,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 15:46:01+00:00,396,2024-07-22 15:54:34+00:00
node-exporter,prometheus-node-exporter-vmh44,prometheus,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/node-exporter:v1.5.0,running,2024-07-22 15:46:01+00:00,396,2024-07-22 15:54:34+00:00
tomcat,fadvusgw14-api-577d4b954b-fwftp,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/scalyr-monolith-s1:build256-535c5218ea,running,2024-07-22 15:36:48+00:00,21,2024-07-22 15:54:34+00:00
consul-client,fadvusgw14-api-577d4b954b-fwftp,default,awsgov-prod-fadvusgw14-eks-cluster,773463581296.dkr.ecr.us-gov-west-1.amazonaws.com/consul:1.12.9,running,2024-07-22 15:36:42+00:00,396,2024-07-22 15:54:34+00:00
